Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Cordell D., Rosemarin A., Schröder J.J., Smit A.L.",26026606900;6602465941;7402137086;57208245126;,Towards global phosphorus security: A systems framework for phosphorus recovery and reuse options,2011,Chemosphere,84,6,,747,758,,674,10.1016/j.chemosphere.2011.02.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960288320&doi=10.1016%2fj.chemosphere.2011.02.032&partnerID=40&md5=c30c90f1dc31a854837fdc43c5264525,"Institute for Sustainable Futures, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia; Stockholm Environment Institute, Kräftriket 2B, SE-106 91, Stockholm, Sweden; Agrosystems Department, Plant Research International, Wageningen University and Research Centre, PO Box 616, 6700 AP Wageningen, Netherlands","Cordell, D., Institute for Sustainable Futures, University of Technology, Sydney, PO Box 123, Broadway, NSW 2007, Australia, Stockholm Environment Institute, Kräftriket 2B, SE-106 91, Stockholm, Sweden; Rosemarin, A., Stockholm Environment Institute, Kräftriket 2B, SE-106 91, Stockholm, Sweden; Schröder, J.J., Agrosystems Department, Plant Research International, Wageningen University and Research Centre, PO Box 616, 6700 AP Wageningen, Netherlands; Smit, A.L., Agrosystems Department, Plant Research International, Wageningen University and Research Centre, PO Box 616, 6700 AP Wageningen, Netherlands","Human intervention in the global phosphorus cycle has mobilised nearly half a billion tonnes of the element from phosphate rock into the hydrosphere over the past half century. The resultant water pollution concerns have been the main driver for sustainable phosphorus use (including phosphorus recovery). However the emerging global challenge of phosphorus scarcity with serious implications for future food security, means phosphorus will also need to be recovered for productive reuse as a fertilizer in food production to replace increasingly scarce and more expensive phosphate rock. Through an integrated and systems framework, this paper examines the full spectrum of sustainable phosphorus recovery and reuse options (from small-scale low-cost to large-scale high-tech), facilitates integrated decision-making and identifies future opportunities and challenges for achieving global phosphorus security. Case studies are provided rather than focusing on a specific technology or process. There is no single solution to achieving a phosphorus-secure future: in addition to increasing phosphorus use efficiency, phosphorus will need to be recovered and reused from all current waste streams throughout the food production and consumption system (from human and animal excreta to food and crop wastes). There is a need for new sustainable policies, partnerships and strategic frameworks to develop renewable phosphorus fertilizer systems for farmers. Further research is also required to determine the most sustainable means in a given context for recovering phosphorus from waste streams and converting the final products into effective fertilizers, accounting for life cycle costs, resource and energy consumption, availability, farmer accessibility and pollution. © 2011 Elsevier Ltd.",Food security; Global phosphorus scarcity; Phosphorus recovery and reuse; Sustainability; Systems framework,Agriculture; Behavioral research; Costs; Decision making; Energy utilization; Fertilizers; Food supply; Life cycle; Phosphate deposits; Recovery; Sustainable development; Systems engineering; Water pollution; Food security; Global phosphorus cycle; Global phosphorus scarcity; Implications for futures; Integrated decision makings; Phosphorus recovery; Phosphorus use efficiencies; Systems framework; Phosphorus; phosphate fertilizer; phosphorus; decision making; energy efficiency; excretion; fertilizer; food production; food security; hydrosphere; mobility; phosphate rock; phosphorus cycle; sustainability; water pollution; article; decision making; energy conservation; energy resource; food industry; food intake; food security; human; manure; nonhuman; pollution control; product recovery; recycling; waste water treatment plant; Animalia,"Cordell, D.; Institute for Sustainable Futures, PO Box 123, Broadway, NSW 2007, Australia; email: Dana.Cordell@uts.edu.au",,Elsevier Ltd,456535,,CMSHA,21414650,English,Chemosphere,Article,Final,,Scopus,2-s2.0-79960288320
"Martins C.I.M., Eding E.H., Verdegem M.C.J., Heinsbroek L.T.N., Schneider O., Blancheton J.P., d'Orbcastel E.R., Verreth J.A.J.",9533253300;6506858616;6603859301;6507762216;8754486100;6603167660;25928294300;57207022070;,New developments in recirculating aquaculture systems in Europe: A perspective on environmental sustainability,2010,Aquacultural Engineering,43,3,,83,93,,599,10.1016/j.aquaeng.2010.09.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149496154&doi=10.1016%2fj.aquaeng.2010.09.002&partnerID=40&md5=9a8291cd14169010deba0d7bb9b4d026,"Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands; CCMAR - Centro de Ciências do Mar, Universidade do Algarve, Campus de Gambelas, P-8005-139, Faro, Portugal; IMARES, Korringaweg 5, 4401 NT Yerseke, Netherlands; IFREMER, Station d'Aquaculture Expérimentale, Laboratoire de Recherche Piscicole de Méditerranée, Chemin de Maguelone, 34250 Palavas-les-Flots, France","Martins, C.I.M., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands, CCMAR - Centro de Ciências do Mar, Universidade do Algarve, Campus de Gambelas, P-8005-139, Faro, Portugal; Eding, E.H., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands; Verdegem, M.C.J., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands; Heinsbroek, L.T.N., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands; Schneider, O., IMARES, Korringaweg 5, 4401 NT Yerseke, Netherlands; Blancheton, J.P., IFREMER, Station d'Aquaculture Expérimentale, Laboratoire de Recherche Piscicole de Méditerranée, Chemin de Maguelone, 34250 Palavas-les-Flots, France; d'Orbcastel, E.R., IFREMER, Station d'Aquaculture Expérimentale, Laboratoire de Recherche Piscicole de Méditerranée, Chemin de Maguelone, 34250 Palavas-les-Flots, France; Verreth, J.A.J., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands","The dual objective of sustainable aquaculture, i.e., to produce food while sustaining natural resources is achieved only when production systems with a minimum ecological impact are used. Recirculating aquaculture systems (RASs) provide opportunities to reduce water usage and to improve waste management and nutrient recycling. RAS makes intensive fish production compatible with environmental sustainability. This review aims to summarize the most recent developments within RAS that have contributed to the environmental sustainability of the European aquaculture sector. The review first shows the ongoing expansion of RAS production by species and country in Europe. Life cycle analysis showed that feed, fish production and waste and energy are the principal components explaining the ecological impact of RAS. Ongoing developments in RAS show two trends focusing on: (1) technical improvements within the recirculation loop and (2) recycling of nutrients through integrated farming. Both trends contributed to improvements in the environmental sustainability of RAS. Developments within the recirculation loop that are reviewed are the introduction of denitrification reactors, sludge thickening technologies and the use of ozone. New approached towards integrated systems include the incorporation of wetlands and algal controlled systems in RAS. Finally, the review identifies the key research priorities that will contribute to the future reduction of the ecological impact of RAS. Possible future breakthroughs in the fields of waste production and removal might further enhance the sustainabilty of fish production in RAS. © 2010 Elsevier B.V.",Denitrification; Ecological impact; Intensive systems; Waste; Water re-use,Controlled system; Denitrification reactors; Ecological impacts; Environmental sustainability; Fish production; Integrated farming; Integrated systems; Intensive systems; Life cycle analysis; Nutrient recycling; Possible futures; Principal Components; Production system; Re-circulation loops; Recirculating aquaculture system; Research priorities; Sludge thickening; Technical improvement; Waste production; Water re-use; Water usage; Aquaculture; Denitrification; Ecology; Energy conversion; Nutrients; Ozone; Principal component analysis; Sustainable development; Wastewater reclamation; Water conservation; Water recycling; Water resources; Waste management; denitrification; ecological impact; environmental economics; life cycle analysis; ozone; recycling; sustainable development; waste management; Europe; algae,"Martins, C.I.M.; CCMAR - Centro de Ciências do Mar, Campus de Gambelas, P-8005-139, Faro, Portugal; email: cimartins@ualg.pt",,,1448609,,AQEND,,English,Aquac. Eng.,Review,Final,"All Open Access, Green",Scopus,2-s2.0-78149496154
"Francis C., Lieblein G., Gliessman S., Breland T.A., Creamer N., Harwood R., Salomonsson L., Helenius J., Rickerl D., Salvador R., Wiedenhoeft M., Simmons S., Allen P., Altieri M., Flora C., Poincelot R.",7203004875;56128750500;55408442800;6701367388;7003704440;7101978692;6603376016;7004029852;6602516841;58580853900;23989389800;7101650064;55578466700;16410728800;7003552897;6603790290;,Agroecology: The ecology of food systems,2003,Journal of Sustainable Agriculture,22,3,,99,118,,526,10.1300/J064v22n03_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-10744230232&doi=10.1300%2fJ064v22n03_10&partnerID=40&md5=ec17d2631cbcec09a90cad8320803a04,"Department of Agronomy/Horticulture, University of Nebraska, Lincoln, NE 68583-0915, United States; Dept. of Horticulture/Crop Science, Agricultural University of Norway, Ås, Norway; Department of Environmental Studies, University of California, Santa Cruz, CA, United States; Department of Horticultural Science, North Carolina State University, Raleigh, NC, United States; Department of Crop and Soil Sciences, Michigan State University, East Lansing, MI, United States; Centre for Sustainable Agriculture, Swedish Univ. of Agricultural Sci., Uppsala, Sweden; Department of Plant Production, University of Helsinki, Helsinki, Finland; Department of Plant Sciences, South Dakota State University, Brookings, SD, United States; Department of Agronomy, Iowa State University, Ames, IA, United States; Dept. of Agronomy/Plant Genetics, University of Minnesota, St. Paul, MN, United States; CASFS, University of California, Santa Cruz, CA, United States; Division of Biological Control, University of California, Berkeley, CA, United States; Department of Sociology, Iowa State University, Ames, IA, United States; Biology Department, Fairfield University, Fairfield, CT, United States","Francis, C., Department of Agronomy/Horticulture, University of Nebraska, Lincoln, NE 68583-0915, United States; Lieblein, G., Dept. of Horticulture/Crop Science, Agricultural University of Norway, Ås, Norway; Gliessman, S., Department of Environmental Studies, University of California, Santa Cruz, CA, United States; Breland, T.A., Dept. of Horticulture/Crop Science, Agricultural University of Norway, Ås, Norway; Creamer, N., Department of Horticultural Science, North Carolina State University, Raleigh, NC, United States; Harwood, R., Department of Crop and Soil Sciences, Michigan State University, East Lansing, MI, United States; Salomonsson, L., Centre for Sustainable Agriculture, Swedish Univ. of Agricultural Sci., Uppsala, Sweden; Helenius, J., Department of Plant Production, University of Helsinki, Helsinki, Finland; Rickerl, D., Department of Plant Sciences, South Dakota State University, Brookings, SD, United States; Salvador, R., Department of Agronomy, Iowa State University, Ames, IA, United States; Wiedenhoeft, M., Department of Agronomy, Iowa State University, Ames, IA, United States; Simmons, S., Dept. of Agronomy/Plant Genetics, University of Minnesota, St. Paul, MN, United States; Allen, P., CASFS, University of California, Santa Cruz, CA, United States; Altieri, M., Division of Biological Control, University of California, Berkeley, CA, United States; Flora, C., Department of Sociology, Iowa State University, Ames, IA, United States; Poincelot, R., Biology Department, Fairfield University, Fairfield, CT, United States","We present a compelling rationale for defining agroecology as the ecology of food systems. Our purpose is to provide a framework that will guide research, education, and action in the multiple and interacting facets of an increasingly complex global agriculture and food system. To accomplish such goals, it is essential to build bridges and connections among and beyond our disciplines in production agriculture, as well as beyond the farm gate into the rural landscape and community. Fields of sociology, anthropology, environmental sciences, ethics, and economics are crucial to the mix. They provide additional vantage points from which we can view the food system anew, as well as insights on how to establish valuation criteria beyond neoclassical economics. Examples from Mexico, California, and the Nordic Region are used to illustrate the successful implementation of this educational strategy in universities. Design of individual farms using principles of ecology is expanded to the levels of landscape, community, and bioregion, with emphasis on uniqueness of place and the people and other species that inhabit that place. We conclude that defining agroecology as the ecology of food systems will foster the development of broader interdisciplinary research teams and attractive systems-based courses for tomorrow's best students. In contrast to the narrow focus on crop-soil interactions, this definition will help us raise higher-level research questions whose solutions will advance the development of a sustainable agriculture and food system. [Article copies available for a fee from The Haworth Document Delivery Service: 1-800-HAWORTH. E-mail address: <docdeliveryηaworthpress.com> Website: <http://HaworthPress.com> © 2003 by The Haworth Press, Inc. All rights reserved].",Action learning; Agricultural systems; Holistic research; Interdisciplinary studies,agroecology; farming system; food production; learning; sustainability,"Francis, C.; Department of Agronomy/Horticulture, , Lincoln, NE 68583-0915, United States; email: cfrancis2@unl.edu",,,10440046,,,,English,J. Sustainable Agric.,Article,Final,,Scopus,2-s2.0-10744230232
"Timmons M.B., Ebeling J.M.",,Recirculating Aquaculture,2007,Recirculating Aquaculture,,,,,,,355,,,,"Timmons, M.B.; Ebeling, J.M.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-48149095561
"Rakocy J.E., Masser M.P., Losordo T.M.",,[No title available],2006,Recirculating Aquaculture Tank Production Systems: Aquaponics-Integrating Fish and Plant Culture,,,,1,16,,352,,,,"Rakocy, J.E.; Masser, M.P.; Losordo, T.M.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-53849104421
"Chen S., Ling J., Blancheton J.-P.",7410255619;36862701300;6603167660;,Nitrification kinetics of biofilm as affected by water quality factors,2006,Aquacultural Engineering,34,3,,179,197,,330,10.1016/j.aquaeng.2005.09.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645999380&doi=10.1016%2fj.aquaeng.2005.09.004&partnerID=40&md5=8eeac1ca0e9ac8b2ca236269a26f8f97,"Department of Biological Systems Engineering, Washington State University, Pullman, WA 99164-6120, United States; Station Ifremer de Palavas, 34250 Palavas les flots, France","Chen, S., Department of Biological Systems Engineering, Washington State University, Pullman, WA 99164-6120, United States; Ling, J., Department of Biological Systems Engineering, Washington State University, Pullman, WA 99164-6120, United States; Blancheton, J.-P., Station Ifremer de Palavas, 34250 Palavas les flots, France","Various types of fixed film biofilters have been used in recirculating aquaculture systems under different water quality and operating conditions. The effectiveness of the nitrification process can be evaluated by nitrification kinetics. Nitrification in the bacterial film of the biofilter involves physical, chemical and biological processes that are governed by a variety of parameters such as substrate and dissolved oxygen concentrations, organic matters, temperature, pH, alkalinity, salinity and turbulence level. The impacts of these parameters upon nitrification kinetics make predicting the performance of a biofilter for a given application an engineering challenge. Knowing the performance of a biofilter is critical for both designers and managers. This paper summarizes the current knowledge on nitrification kinetics as affected by the aforementioned factors based on literature and the results from the authors' laboratories. These factors were ranked according to their significance of impact on biofilter nitrification performance. The information presented can be used as a reference for the design and operation of biofilters in recirculating aquaculture systems. © 2005 Elsevier B.V. All rights reserved.",Biofilm; Biofilters; Nitrification kinetics; Recirculating aquaculture systems; Review; Water quality parameters,Alkalinity; Aquaculture; Biofilms; Biofilters; Salinity measurement; Substrates; Turbulence; Water quality; Dissolved oxygen concentrations; Nitrification kinetics; Recirculating aquaculture systems; Nitrification; aquaculture; biofilm; filter; nitrification; pH; reaction kinetics; salinity; water quality; Turbulence; Water Quality; Bacteria (microorganisms),"Chen, S.; Department of Biological Systems Engineering, , Pullman, WA 99164-6120, United States; email: chens@wsu.edu",,,1448609,,AQEND,,English,Aquac. Eng.,Article,Final,,Scopus,2-s2.0-33645999380
"Blackburne R., Vadivelu V.M., Yuan Z., Keller J.",16549211700;14046228000;58013696200;57208772241;,Kinetic characterisation of an enriched Nitrospira culture with comparison to Nitrobacter,2007,Water Research,41,14,,3033,3042,,324,10.1016/j.watres.2007.01.043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250613083&doi=10.1016%2fj.watres.2007.01.043&partnerID=40&md5=62be238314fb1e080d942365242281a0,"Advanced Wastewater Management Centre, The University of Queensland, Brisbane, 4072, Australia; GHD Pty. Ltd., 201 Charlotte Street, Brisbane, QLD 4000, Australia","Blackburne, R., Advanced Wastewater Management Centre, The University of Queensland, Brisbane, 4072, Australia, GHD Pty. Ltd., 201 Charlotte Street, Brisbane, QLD 4000, Australia; Vadivelu, V.M., Advanced Wastewater Management Centre, The University of Queensland, Brisbane, 4072, Australia; Yuan, Z., Advanced Wastewater Management Centre, The University of Queensland, Brisbane, 4072, Australia; Keller, J., Advanced Wastewater Management Centre, The University of Queensland, Brisbane, 4072, Australia","Nitrospira and Nitrobacter are nitrite-oxidising bacteria commonly identified in nitrogen removal wastewater treatment plants. Little is known about the growth parameters of Nitrospira or the effects of environmental conditions or inhibitory compounds on Nitrospira activity. These bacterial properties were investigated using an enriched Nitrospira culture and an enriched Nitrobacter culture or Nitrobacter literature values. Compared to Nitrobacter, Nitrospira was found to have a comparable optimal pH range (8.0-8.3); similar normalised activity-temperature relationship (0.44e0.055(T-15)) for temperatures between 15 and 30 °C and a similar oxygen half-saturation constant, KO (0.54±0.14 mg L-1). The major differences identified were that Nitrospira had a lower nitrite half-saturation constant, KS (0.9±0.07 mg NO2-N L-1); lower inhibition threshold concentrations for free ammonia (between 0.04 and 0.08 mg NH3-N L-1) and free nitrous acid (less than 0.03 mg HNO2-N L-1) and a higher yield (0.15±0.04 g VSS g N-1). Therefore, Nitrospira is more likely to dominate nitrite oxidation under conditions with low ammonium and nitrite concentrations, which would provide an advantage to them due to their lower KS value while avoiding any free ammonia or free nitrous acid inhibition. © 2007 Elsevier Ltd. All rights reserved.",Kinetics; Nitrification; Nitrite-oxidising bacteria; Nitrobacter; Nitrospira; Wastewater treatment; Yield,Ammonia; Concentration (process); Nitrification; pH effects; Reaction kinetics; Thermal effects; Nitrite-oxidizing bacteria; Nitrobacter; Nitrospira; Bacteria; ammonia; nitrite; nitrous acid; Ammonia; Bacteria; Concentration (process); Nitrification; pH effects; Reaction kinetics; Thermal effects; bacterium; concentration (composition); environmental conditions; environmental effect; growth response; inhibition; kinetics; microbial activity; nitrification; nitrite; oxidation; wastewater; water treatment; article; bacterium culture; nitrite oxidizing bacterium; Nitrobacter; Nitrospira; nonhuman; pH; priority journal; temperature dependence; waste water; water contamination; Bacteria (microorganisms); Nitrobacter; Nitrospira,"Keller, J.; Advanced Wastewater Management Centre, , Brisbane, 4072, Australia; email: j.keller@awmc.uq.edu.au",,Elsevier Ltd,431354,,WATRA,17553540,English,Water Res.,Article,Final,,Scopus,2-s2.0-34250613083
"Shu L., Schneider P., Jegatheesan V., Johnson J.",8276564000;55822965695;9332701100;57716412600;,An economic evaluation of phosphorus recovery as struvite from digester supernatant,2006,Bioresource Technology,97,17,,2211,2216,,323,10.1016/j.biortech.2005.11.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745858318&doi=10.1016%2fj.biortech.2005.11.005&partnerID=40&md5=df7571c8940e12c34790d802ac026213,"School of Engineering, James Cook University, Townsville, QLD 4811, Australia; Great Barrier Reef Marine Park Authority, Townsville, QLD 4810, Australia","Shu, L., School of Engineering, James Cook University, Townsville, QLD 4811, Australia; Schneider, P., School of Engineering, James Cook University, Townsville, QLD 4811, Australia; Jegatheesan, V., School of Engineering, James Cook University, Townsville, QLD 4811, Australia; Johnson, J., Great Barrier Reef Marine Park Authority, Townsville, QLD 4810, Australia","Phosphorus can be recovered from wastewater through crystallisation of struvite, MgNH4PO4 · 6H2O. Approximately 1 kg of struvite can be crystallised from 100 m3 of wastewater. Crystallisation is profitable compared to chemical and biological removal of phosphorus due to savings from the reduction in (i) chemicals used for precipitation and sludge disposal; and (ii) downtime for cleaning unwanted struvite formed during chemical and biological removal. The struvite produced annually from a wastewater treatment plant that processed 100 m3/d, would be sufficient to apply on 2.6 ha of arable land, as fertilizer. If struvite were to be recovered from wastewater treatment plants worldwide, 0.63 million tons of phosphorus (as P2O5) could be harvested annually, reducing phosphate rock mining by 1.6%. Therefore, this technology could provide opportunities to recover phosphorus sustainably from waste streams and preserve phosphorus reserves. © 2005 Elsevier Ltd. All rights reserved.",Crystallisation; Phosphorus recovery; Struvite; Sustainability; Wastewater treatment plant,"Crystallization; Phosphorus; Precipitation (chemical); Recovery; Sewage sludge; Waste disposal; Phosphorus recovery; Struvite; Sustainability; Wastewater treatment plant; Wastewater treatment; fertilizer; phosphorus; struvite; Crystallization; Phosphorus; Precipitation (chemical); Recovery; Sewage sludge; Waste disposal; Wastewater treatment; crystallization; economic analysis; phosphorus; recovery; wastewater; crop production; crystallization; economic aspect; priority journal; profit; review; supernatant; waste water; waste water treatment plant; Biodegradation, Environmental; Conservation of Natural Resources; Crystallization; Fertilizers; Humans; Magnesium Compounds; Phosphates; Phosphorus; Population Growth; Water Purification","Jegatheesan, V.; School of Engineering, , Townsville, QLD 4811, Australia; email: jega.jegatheesan@jcu.edu.au",,,9608524,,BIRTE,16364632,English,Bioresour. Technol.,Review,Final,,Scopus,2-s2.0-33745858318
"Chan H.-Y., Riffat S.B., Zhu J.",56117551300;7006039743;57213066879;,Review of passive solar heating and cooling technologies,2010,Renewable and Sustainable Energy Reviews,14,2,,781,789,,310,10.1016/j.rser.2009.10.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72049112048&doi=10.1016%2fj.rser.2009.10.030&partnerID=40&md5=1ef7f9296c20d828686e8ec4cabdf678,"Department of the Built Environment, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom","Chan, H.-Y., Department of the Built Environment, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom; Riffat, S.B., Department of the Built Environment, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom; Zhu, J., Department of the Built Environment, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom","Heating, ventilating, and air-conditioning (HVAC) are parts of the major energy consumption in a building. Conventional heating and cooling systems are having an impact on carbon dioxide emissions, as well as on security of energy supply. In this regard, one of the attempts taken by researchers is the development of solar heating and cooling technologies. The objective of this paper is to review the passive solar technologies for space heating and cooling. The reviews were discussed according to the working mechanisms, i.e. buoyancy and evaporative effects. The advantages, limitations and challenges of the technologies have been highlighted and the future research needs in these areas have also been suggested. © 2009 Elsevier Ltd. All rights reserved.",Cooling; Heating; Passive,"Carbon dioxide emissions; Conventional heating; Cooling technology; Energy consumption; Energy supplies; Heating , Ventilating , and Air-Conditioning; Passive solar; Passive solar technologies; Research needs; Working mechanisms; Air conditioning; Carbon dioxide; Cooling; Cooling systems; Energy conservation; Global warming; Solar heating; Technology; Heating","Chan, H.-Y.; Department of the Built Environment, University Park, Nottingham, NG7 2RD, United Kingdom; email: laxhyc@nottingham.ac.uk",,,13640321,,RSERF,,English,Renewable Sustainable Energy Rev,Review,Final,,Scopus,2-s2.0-72049112048
Resh H.M.,,Hydroponic Food Production: A Definitive Guidebook for the Advanced Home Gardener and the Commercial Hydroponic Grower,2012,Hydroponic Food Production,,,,,,,308,,,,"Resh, H.M.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-34250189461
"Klinger D., Naylor R.",35487888700;7102988281;,Searching for solutions in aquaculture: Charting a sustainable course,2012,Annual Review of Environment and Resources,37,,,247,276,,307,10.1146/annurev-environ-021111-161531,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883276047&doi=10.1146%2fannurev-environ-021111-161531&partnerID=40&md5=0776d1d2551c036e5e57ea4195231f5e,"Emmett Interdisciplinary Program in Environment and Resources, Stanford University, Stanford, CA 94305-6055, United States; Center on Food Security and the Environment, Stanford University, Stanford, CA 94305-6055, United States","Klinger, D., Emmett Interdisciplinary Program in Environment and Resources, Stanford University, Stanford, CA 94305-6055, United States, Center on Food Security and the Environment, Stanford University, Stanford, CA 94305-6055, United States; Naylor, R., Center on Food Security and the Environment, Stanford University, Stanford, CA 94305-6055, United States","Aquaculture is currently the fastest growing animal food production sector and will soon supply more than half of the world's seafood for human consumption. Continued growth in aquaculture production is likely to come from intensification of fish, shellfish, and algae production. Intensification is often accompanied by a range of resource and environmental problems. We review several potential solutions to these problems, including novel culture systems, alternative feed strategies, and species choices. We examine the problems addressed; the stage of adoption; and the benefits, costs, and constraints of each solution. Policies that provide incentives for innovation and environmental improvement are also explored. We end the review by identifying easily adoptable solutions and promising technologies worth further investment. © Copyright ©2012 by Annual Reviews. All rights reserved.",Aquaponics; Feeds; IMTA; Offshore aquaculture; RAS,Aquaponics; Culture systems; Environmental improvements; Environmental problems; Human consumption; IMTA; Offshore aquaculture; RAS; Feeding; Aquaculture,"Emmett Interdisciplinary Program in Environment and Resources, , Stanford, CA 94305-6055, United States",,,15435938,,,,English,Annu. Rev. Environ. Resour.,Review,Final,"All Open Access, Bronze",Scopus,2-s2.0-84883276047
